code,category,name,price,currency,rating,rating_count,store_type,url,url_picture
100210860366,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 2701 Aqua II, белый",1750,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ko-2701-aqua-ii/100210860366,https://avatars.mds.yandex.net/get-mpic/1374520/img_id5628544718947196915.jpeg/orig
100230416166,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 120 Travel'City, серый",1760,RUR,4.5,11,Беру,https://beru.ru/product/chainik-tefal-ko-120-travel-city/100230416166,https://avatars.mds.yandex.net/get-mpic/331398/img_id2807216561987451176.jpeg/orig
100230416166,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 120 Travel'City, серый",1470,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ko-120-travel-city/100230416166,https://avatars.mds.yandex.net/get-mpic/331398/img_id2807216561987451176.jpeg/orig
100230419411,Электрочайники и термопоты/Kitfort,"Чайник Kitfort KT-610, серебристый",2290,RUR,0,0,Беру,https://beru.ru/product/chainik-kitfort-kt-610/100230419411,https://avatars.mds.yandex.net/get-mpic/200316/img_id6604645946831204830.jpeg/orig
100230419414,Электрочайники и термопоты/Ariete,"Чайник Ariete 2869, голубой",4990,RUR,0,0,Беру,https://beru.ru/product/chainik-ariete-2869/100230419414,https://avatars.mds.yandex.net/get-mpic/397397/img_id4904423745655775521.jpeg/orig
100230419674,Электрочайники и термопоты/Eurostek,"Чайник Eurostek EEK-1701S, голубой",1490,RUR,0,0,Беру,https://beru.ru/product/chainik-eurostek-eek-1701-1702-1703-1704/100230419674,https://avatars.mds.yandex.net/get-mpic/1599966/img_id124121523423449847.jpeg/orig
100230419677,Электрочайники и термопоты/Eurostek,"Чайник Eurostek EEK-1703S, фиолетовый",1490,RUR,0,0,Беру,https://beru.ru/product/chainik-eurostek-eek-1701-1702-1703-1704/100230419677,https://avatars.mds.yandex.net/get-mpic/1620389/img_id42622739863702408.jpeg/orig
100231382146,Электрочайники и термопоты/Russell Hobbs,"Чайник Russell Hobbs 20417-70, голубой",2699,RUR,0,0,Беру,https://beru.ru/product/chainik-russell-hobbs-20417/100231382146,https://avatars.mds.yandex.net/get-mpic/1669769/img_id8264982632238822714.jpeg/orig
100231382161,Электрочайники и термопоты/Relice,"Чайник Relice EK-101, белый",399,RUR,0,0,Беру,https://beru.ru/product/chainik-relice-ek-101/100231382161,https://avatars.mds.yandex.net/get-mpic/397397/img_id7291083206977480246.jpeg/orig
100231382161,Электрочайники и термопоты/Relice,"Чайник Relice EK-101, белый",499,RUR,0,0,Беру,https://beru.ru/product/chainik-relice-ek-101/100231382161,https://avatars.mds.yandex.net/get-mpic/397397/img_id7291083206977480246.jpeg/orig
100231382162,Электрочайники и термопоты/Relice,"Чайник Relice EK-201, серебристый",599,RUR,0,0,Беру,https://beru.ru/product/chainik-relice-ek-201/100231382162,https://avatars.mds.yandex.net/get-mpic/466729/img_id6512074047428164335.jpeg/orig
100231382163,Электрочайники и термопоты/Relice,"Чайник Relice EK-202, голубой",660,RUR,0,0,Беру,https://beru.ru/product/chainik-relice-ek-202/100231382163,https://avatars.mds.yandex.net/get-mpic/466729/img_id519972257213897645.jpeg/orig
100231382167,Электрочайники и термопоты/Tefal,"Чайник Tefal KI 760D, серебристый",3590,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ki-760d/100231382167,https://avatars.mds.yandex.net/get-mpic/466729/img_id2403834323006939776.jpeg/orig
100231382525,Электрочайники и термопоты/Ergolux,"Чайник Ergolux ELX-KG01, черный",1394,RUR,0,0,Беру,https://beru.ru/product/chainik-ergolux-elx-kg01/100231382525,https://avatars.mds.yandex.net/get-mpic/397397/img_id4516149681081609267.jpeg/orig
